Mods count: 209
 
                               jar name                                 | notes |             mod id             |             mod name             |         mod version          |                                                                                                                                                                                                                                        mixin configs                                                                                                                                                                                                                                         |              modrinth hash               | curseforge hash
fancymenu_forge_3.8.1_MC_1.20.1.jar                                     |       | fancymenu                      | FancyMenu                        | 3.8.1                        | fancymenu.mixins.json, fancymenu.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                           | 1fef1d8ab0dc2dec116bc6d6cb6f789fd33b23b0 | 3141943045     
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar |       |                                |                                  |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/japng-0.5.3.jar                                    |       |                                |                                  |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
fantasyfurniture-1.20.1-9.0.0.jar                                       |       | fantasyfurniture               | Fantasy's Furniture              | 9.0.0                        | fantasyfurniture.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 85b51d883025413c89ce52ae5e9a7071bc4e53a3 | 3544073391     
    /META-INF/jarjar/apexcore-1.20.1-10.0.0.jar                         |       | apexcore                       | ApexCore                         | 10.0.0                       | apexcore.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
        /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                    |       |                                |                                  |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jarjar/commonality-1.20.1-7.0.0.jar                   |       | commonality                    | Commonality                      | 7.0.0                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
FarmersDelight-1.20.1-1.3.2.jar                                         |       | farmersdelight                 | Farmer's Delight                 | 1.20.1-1.3.2                 | farmersdelight.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 397763ae36dc2e0f526e0338c875850437580157 | 2239282096     
FastFurnace-1.20.1-8.0.2.jar                                            |       | fastfurnace                    | FastFurnace                      | 8.0.2                        | fastfurnace.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | b144b8599acd3fac3f8f9d31fa217a4a5b942f61 | 1215298089     
FastLeafDecay-32.jar                                                    |       | fastleafdecay                  | Fast Leaf Decay                  | 32                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 4a76af4ca71dd9939d3c21206792c0d5f75b93a7 | 2287332168     
Fastload-Reforged-mc1.20.1-3.4.0.jar                                    |       | fastload                       | Fastload-Reforged                | 3.4.0                        | fastload.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | 27d58f123951e0404c94caf16ff9b96b442f371c | 1563375780     
FastSuite-1.20.1-5.1.2.jar                                              |       | fastsuite                      | Fast Suite                       | 5.1.2                        | fastsuite.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 32ea4495b0e646f8f060e4e97d17044dd9fdefbd | 2881858684     
FastWorkbench-1.20.1-8.0.4.jar                                          |       | fastbench                      | Fast Workbench                   | 8.0.4                        | fastbench.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 1a322a85e7c7024b8a0715c12d27b5ed0930d729 | 3125406473     
ferritecore-6.0.1-forge.jar                                             |       | ferritecore                    | Ferrite Core                     | 6.0.1                        | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json                                                                                                                                                                                                   | 417fb6ce8f52abf40bd9d0390371790f9576f8ba | 2683111440     
